gene_symbol_mouse,number_tissues_cycling,phase_adrg,phase_aort,phase_bfat,phase_bstm,phase_cere,phase_hart,phase_hypo,phase_kdny,phase_livr,phase_lung,phase_musc,phase_wfat
Akap11,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3,6,NULL,NULL,NULL
Alkbh3,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10,2,NULL,NULL,NULL
Apex2,2,NULL,NULL,NULL,NULL,NULL,8,NULL,NULL,NULL,NULL,7,NULL
Arf1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,23,NULL,NULL,NULL
Arhgef18,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22,NULL,23,NULL
Arl4a,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,23,NULL,NULL,NULL
Armc9,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,23,NULL,NULL,NULL
Arsg,5,6,NULL,NULL,7,6,NULL,NULL,3,1,NULL,NULL,NULL
Art1,2,NULL,NULL,NULL,NULL,NULL,10,NULL,NULL,NULL,NULL,9,NULL
Atp11a,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,23,NULL,NULL,NULL
Atp5g2,3,NULL,NULL,NULL,NULL,NULL,NULL,7,11,23,NULL,NULL,NULL
Atp5s,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4,NULL,NULL,8
B3gat3,2,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL
Bri3,3,NULL,8,11,NULL,NULL,NULL,NULL,NULL,10,NULL,NULL,NULL
Cald1,5,NULL,NULL,1,NULL,NULL,1,NULL,23,1,NULL,2,NULL
Caln1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,17,NULL,NULL,NULL
Ccdc80,2,NULL,NULL,21,NULL,NULL,NULL,NULL,17,NULL,NULL,NULL,NULL
Csdc2,2,3,NULL,NULL,NULL,NULL,19,NULL,NULL,NULL,NULL,NULL,NULL
Dap,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,21,NULL,NULL,NULL
Dhx16,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,18
Disp1,3,NULL,NULL,17,NULL,NULL,3,NULL,NULL,NULL,5,NULL,NULL
Dnajc8,1,NULL,NULL,22,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Dusp14,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12,NULL
Dyrk2,4,NULL,NULL,NULL,NULL,3,22,NULL,NULL,2,NULL,23,NULL
Edf1,1,NULL,9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Eif2c3,3,NULL,NULL,NULL,19,NULL,NULL,18,NULL,NULL,14,NULL,NULL
Ergic1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22,NULL,NULL,NULL
Ermap,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22,NULL,NULL,NULL
Fam129a,1,NULL,NULL,6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Fam50a,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10
Fam60a,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,11,NULL,NULL,NULL
Aadac,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,23,NULL,NULL,NULL,NULL
Abcb10,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,19,NULL,NULL,NULL
Adamts10,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,23,NULL
Fbxo38,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6
Fcrl1,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5,21,NULL
Fn3k,2,NULL,NULL,NULL,22,NULL,NULL,20,NULL,NULL,NULL,NULL,NULL
Gemin7,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,21
Gmcl1,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22,NULL,19,NULL,NULL
Gpr124,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12,NULL,NULL
Gpr125,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,17,18,NULL,NULL
Gpr44,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22,NULL,NULL
Gpr55,1,20,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Gse1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20,NULL
Guk1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,17,NULL,NULL,NULL
Gzmm,1,NULL,NULL,NULL,NULL,16,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Hace1,1,20,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Hectd1,2,NULL,NULL,NULL,NULL,NULL,NULL,20,NULL,10,NULL,NULL,NULL
Hgsnat,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,14,NULL,NULL,NULL
Hsd3b4,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6,NULL,NULL,NULL
Hspa14,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,11,NULL,NULL
Ift52,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL
Ift81,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,23,NULL,NULL,NULL
Ndufb11,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,23,NULL,NULL,NULL
Necap1,1,NULL,NULL,NULL,NULL,NULL,NULL,7,NULL,NULL,NULL,NULL,NULL
Nkd2,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,13,NULL,NULL
Nmbr,1,NULL,NULL,NULL,19,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Obfc1,3,NULL,NULL,NULL,4,NULL,12,NULL,NULL,23,NULL,NULL,NULL
Lsm7,1,NULL,NULL,NULL,NULL,NULL,NULL,9,NULL,NULL,NULL,NULL,NULL
Mdfic,5,22,23,23,NULL,NULL,NULL,NULL,NULL,2,NULL,NULL,0
Mks1,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,23,NULL,10,NULL
Mpp2,4,12,NULL,NULL,NULL,16,NULL,NULL,13,NULL,15,NULL,NULL
Mrpl4,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20,NULL,NULL,NULL
Myl12b,1,NULL,21,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Sh3d19,3,NULL,NULL,23,NULL,NULL,NULL,NULL,21,8,NULL,NULL,NULL
Shprh,1,NULL,NULL,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Slc13a3,2,NULL,NULL,NULL,12,NULL,NULL,NULL,16,NULL,NULL,NULL,NULL
Slc25a39,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,21,NULL,NULL,NULL
Slc30a2,2,0,NULL,NULL,NULL,NULL,NULL,NULL,11,NULL,NULL,NULL,NULL
Slc45a3,2,12,NULL,NULL,NULL,NULL,NULL,NULL,NULL,21,NULL,NULL,NULL
Slco2a1,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,23,12,NULL,NULL
Smap1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,19,NULL,NULL,NULL,NULL
Smc2,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,16,NULL,NULL
Snf8,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22,NULL,NULL,NULL
Snip1,1,NULL,NULL,NULL,NULL,NULL,17,NULL,NULL,NULL,NULL,NULL,NULL
Snx4,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4,NULL,NULL,NULL
Snx6,2,20,NULL,NULL,NULL,NULL,NULL,NULL,19,NULL,NULL,NULL,NULL
Spag1,2,NULL,NULL,NULL,NULL,21,NULL,NULL,18,NULL,NULL,NULL,NULL
Ssfa2,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12,NULL,NULL,NULL
Stap1,1,NULL,NULL,NULL,NULL,NULL,5,NULL,NULL,NULL,NULL,NULL,NULL
Stk40,3,NULL,NULL,NULL,NULL,NULL,22,NULL,14,NULL,11,NULL,NULL
Il20rb,1,NULL,NULL,NULL,NULL,21,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Iqsec1,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9,NULL,14
Jph1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12,NULL,NULL,NULL
Kcns3,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9,NULL,NULL
Kdelr1,1,NULL,NULL,11,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Kif20b,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,11,NULL,NULL,NULL,NULL
Kifc2,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,18,NULL,NULL
Klhdc2,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL
Klhdc3,3,NULL,NULL,NULL,NULL,NULL,16,NULL,8,NULL,11,NULL,NULL
Ky,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8,NULL
Leo1,10,20,23,23,NULL,0,0,NULL,22,22,22,2,23
Lilra6,1,NULL,NULL,NULL,NULL,NULL,10,NULL,NULL,NULL,NULL,NULL,NULL
Llgl2,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22,23,NULL,NULL,NULL
Opalin,4,NULL,NULL,NULL,5,6,NULL,6,NULL,12,NULL,NULL,NULL
Orai3,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,23,NULL,NULL,NULL
Osgep,3,NULL,NULL,NULL,NULL,NULL,NULL,0,1,4,NULL,NULL,NULL
Pacs2,1,NULL,NULL,NULL,NULL,NULL,20,NULL,NULL,NULL,NULL,NULL,NULL
Pank3,2,12,12,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Paox,2,NULL,9,NULL,NULL,NULL,NULL,NULL,10,NULL,NULL,NULL,NULL
Pard6g,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9
Parp3,2,NULL,NULL,23,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL
Pcdh12,3,NULL,NULL,NULL,NULL,NULL,22,NULL,NULL,NULL,2,NULL,23
Pcdh9,1,NULL,NULL,NULL,NULL,22,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Pex26,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,14,NULL,NULL,NULL
Synpo2,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10
Tab3,3,NULL,NULL,3,NULL,NULL,NULL,NULL,NULL,6,NULL,NULL,5
Tasp1,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,13,NULL,NULL
Tbc1d10a,4,NULL,9,NULL,NULL,NULL,NULL,NULL,7,8,12,NULL,NULL
Tceal1,5,21,NULL,2,NULL,NULL,NULL,NULL,22,2,NULL,NULL,5
Tecr,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22,NULL,NULL,NULL
Tex2,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22,23,NULL,NULL,NULL
Tfb1m,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22,22,NULL,NULL,NULL
Tmbim1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6,NULL,NULL
Tmed2,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,15,NULL,NULL,NULL
Tmem131,1,NULL,NULL,NULL,NULL,NULL,20,NULL,NULL,NULL,NULL,NULL,NULL
Tmem50a,2,NULL,NULL,NULL,NULL,NULL,12,NULL,11,NULL,NULL,NULL,NULL
Tor2a,2,NULL,NULL,9,NULL,NULL,NULL,NULL,11,NULL,NULL,NULL,NULL
Trim23,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3,NULL,NULL,NULL,4
Trim44,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22,NULL,NULL,NULL,NULL
Ranbp10,3,NULL,5,NULL,NULL,NULL,22,NULL,NULL,2,NULL,NULL,NULL
Rassf8,1,21,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Reps1,2,NULL,NULL,NULL,NULL,NULL,NULL,6,NULL,2,NULL,NULL,NULL
Rhoj,8,0,0,0,NULL,0,1,NULL,0,NULL,23,1,NULL
Rnf146,1,NULL,NULL,NULL,NULL,NULL,NULL,18,NULL,NULL,NULL,NULL,NULL
Rnf34,2,NULL,NULL,NULL,NULL,NULL,18,NULL,NULL,23,NULL,NULL,NULL
Rnf38,2,NULL,NULL,NULL,NULL,NULL,NULL,9,4,NULL,NULL,NULL,NULL
Rpl37a,2,NULL,6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7,NULL,NULL
Rprm,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,18,NULL,NULL
Sbf1,2,NULL,NULL,NULL,NULL,NULL,NULL,9,NULL,NULL,8,NULL,NULL
Scd2,5,20,21,21,NULL,NULL,NULL,NULL,19,NULL,17,NULL,NULL
Scpep1,3,NULL,NULL,8,NULL,NULL,NULL,NULL,0,4,NULL,NULL,NULL
Scrn1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,11,NULL,NULL
Sec14l1,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,17,17,NULL,NULL,17
Sema3d,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL
Phip,3,17,NULL,22,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22
Phldb2,2,20,NULL,NULL,NULL,NULL,NULL,NULL,7,NULL,NULL,NULL,NULL
Pik3ip1,4,NULL,12,NULL,NULL,NULL,12,NULL,NULL,NULL,11,NULL,13
Pmvk,5,NULL,NULL,23,NULL,NULL,NULL,NULL,20,22,15,NULL,22
Pnpo,2,8,NULL,10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Ppap2c,2,NULL,NULL,8,NULL,NULL,NULL,NULL,NULL,12,NULL,NULL,NULL
Ppfibp2,3,NULL,NULL,6,NULL,NULL,23,NULL,NULL,NULL,NULL,3,NULL
Ppp2r3c,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL
Prcc,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL
Pttg1ip,2,NULL,NULL,NULL,NULL,22,NULL,NULL,NULL,1,NULL,NULL,NULL
Rab32,2,NULL,NULL,22,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL
Rab7l1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22,NULL,NULL,NULL
Zc3h7b,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10,NULL,11,NULL,NULL
Zdhhc7,1,NULL,NULL,NULL,NULL,NULL,19,NULL,NULL,NULL,NULL,NULL,NULL
Zfp354a,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,16,NULL,NULL
Zfp7,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12,NULL,NULL,NULL,NULL
Zfyve20,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL
Zkscan1,3,NULL,NULL,6,NULL,NULL,NULL,NULL,23,23,NULL,NULL,NULL
Zxdc,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,14,NULL,NULL
Trip4,2,NULL,NULL,NULL,21,NULL,NULL,22,NULL,NULL,NULL,NULL,NULL
Ttbk2,1,NULL,NULL,NULL,22,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Ttll1,3,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,21,NULL,NULL,23
Tubgcp5,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22,NULL,NULL,NULL,NULL
Uba5,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20,NULL,NULL,NULL,NULL
Ubac1,1,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL
Uhrf2,4,NULL,NULL,22,20,NULL,NULL,19,20,NULL,NULL,NULL,NULL
Uqcrh,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10,NULL,NULL
Usp24,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,21,NULL,NULL,NULL,22
Vps41,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6,NULL,NULL,NULL
Vps72,1,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Wdr44,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,23,NULL,NULL,NULL,NULL
Wipi2,4,NULL,7,7,NULL,NULL,NULL,NULL,9,NULL,9,NULL,NULL
Xpo6,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4,NULL,NULL,NULL
Xpr1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL
Trim8,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22,NULL,NULL
Ttl,2,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,16,NULL,NULL
Ttll5,2,18,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,16,NULL,NULL
Tubgcp3,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL
Tulp4,4,11,NULL,NULL,NULL,NULL,15,NULL,NULL,12,12,NULL,NULL
Ube2n,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,21,NULL,NULL,NULL,NULL
Ube4a,2,NULL,NULL,NULL,NULL,21,NULL,NULL,NULL,NULL,17,NULL,NULL
Ubqln4,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,19,NULL,NULL,NULL
Unc45a,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,21,NULL,NULL,NULL
Uqcr10,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,18,NULL,NULL,NULL
Usp46,4,NULL,NULL,NULL,NULL,NULL,18,NULL,20,17,15,NULL,NULL
Wbp1,2,7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22,NULL,NULL,NULL
Wdr33,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,NULL,5
Zbtb40,1,NULL,NULL,NULL,NULL,NULL,NULL,18,NULL,NULL,NULL,NULL,NULL
Sytl2,7,22,NULL,NULL,4,5,NULL,NULL,23,NULL,22,1,1
Tbc1d22a,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7,NULL,NULL,NULL,NULL
Tcta,3,NULL,NULL,NULL,7,NULL,NULL,7,NULL,22,NULL,NULL,NULL
Thtpa,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,23,NULL,NULL,NULL
Thyn1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,23,NULL,NULL,NULL
Timm50,1,NULL,NULL,NULL,NULL,8,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Tmeff1,2,NULL,6,6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Tmem123,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL
Tmem14c,2,NULL,6,NULL,NULL,NULL,NULL,NULL,NULL,21,NULL,NULL,NULL
Tmem47,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20,NULL,NULL,NULL,NULL
Tmem50b,2,NULL,NULL,NULL,22,NULL,NULL,NULL,16,NULL,NULL,NULL,NULL
Trafd1,2,6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL
Tram2,1,NULL,NULL,21,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Trerf1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8,NULL,NULL,NULL,NULL
Sh3pxd2b,3,NULL,NULL,23,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,1
Shroom2,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,12,NULL,NULL
Slc17a8,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20,NULL,NULL,NULL
Slc24a6,5,6,6,4,NULL,1,NULL,NULL,NULL,5,NULL,NULL,NULL
Slc25a28,2,NULL,NULL,4,NULL,NULL,NULL,NULL,NULL,10,NULL,NULL,NULL
Slc26a9,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,23,NULL,NULL
Slc6a19,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7,NULL,NULL,NULL,NULL
Slc9a9,3,NULL,NULL,NULL,NULL,3,NULL,NULL,NULL,22,NULL,23,NULL
Slco3a1,4,NULL,NULL,NULL,NULL,NULL,19,NULL,15,18,17,NULL,NULL
Slu7,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,23,NULL,NULL,NULL
Smek1,1,NULL,NULL,NULL,NULL,NULL,NULL,17,NULL,NULL,NULL,NULL,NULL
Snupn,2,NULL,NULL,NULL,NULL,NULL,NULL,22,NULL,21,NULL,NULL,NULL
Socs4,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22,NULL,NULL,NULL,NULL
Sorcs2,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10,NULL,NULL
Spic,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,19,NULL,NULL,NULL
Steap4,4,NULL,NULL,20,NULL,NULL,0,NULL,19,NULL,NULL,0,NULL
Stx18,3,NULL,NULL,NULL,22,NULL,NULL,NULL,21,20,NULL,NULL,NULL
Naa25,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20,21,NULL,NULL,NULL
Naa50,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12,NULL,NULL,NULL
Naaa,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,23,NULL
Nars,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,21,NULL,NULL,NULL,NULL
Nav1,3,NULL,NULL,0,NULL,NULL,1,NULL,NULL,NULL,NULL,2,NULL
Neu4,1,NULL,NULL,NULL,16,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Nme7,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6,4,NULL,NULL,NULL
Noc3l,2,NULL,NULL,NULL,NULL,NULL,NULL,22,19,NULL,NULL,NULL,NULL
Nprl2,1,NULL,NULL,8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Nudt3,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12,NULL,NULL,NULL
Nup37,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL
Lrrn3,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,11,NULL,NULL
Lsm10,3,NULL,NULL,4,NULL,NULL,NULL,NULL,NULL,22,12,NULL,NULL
Mal2,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20,20,NULL,NULL,NULL
Mapre3,3,NULL,NULL,7,22,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL
Mdga2,1,NULL,NULL,NULL,21,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Mdn1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20,NULL,NULL,NULL,NULL
Med20,2,NULL,NULL,11,NULL,NULL,17,NULL,NULL,NULL,NULL,NULL,NULL
Med8,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,23
Mettl1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20,NULL,NULL,NULL
Mis12,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,14,NULL,NULL
Mlxip,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,11,0,NULL
Mrpl22,1,NULL,6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Mrps18b,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22
Mtcp1,3,19,NULL,NULL,23,20,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Mtx2,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,8,NULL,NULL,NULL
Mylip,4,NULL,11,14,NULL,NULL,13,NULL,NULL,NULL,NULL,NULL,14
Myo1d,4,22,NULL,NULL,NULL,4,NULL,NULL,NULL,0,15,NULL,NULL
Mypn,1,NULL,NULL,NULL,NULL,NULL,21,NULL,NULL,NULL,NULL,NULL,NULL
Opn3,1,NULL,NULL,NULL,NULL,23,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Osbpl2,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12,NULL,NULL
Palld,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL
Paqr8,4,21,NULL,NULL,19,18,NULL,17,NULL,NULL,NULL,NULL,NULL
Pcif1,4,NULL,NULL,NULL,8,NULL,NULL,9,NULL,NULL,7,NULL,9
Pef1,1,NULL,NULL,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Pgrmc2,3,NULL,6,6,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL
Phf16,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,16,NULL,NULL
Iigp1,2,NULL,NULL,NULL,NULL,NULL,10,NULL,NULL,5,NULL,NULL,NULL
Ikzf4,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,23,NULL,NULL
Inf2,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12,NULL,12
Ipo4,2,NULL,7,NULL,NULL,NULL,NULL,NULL,7,NULL,NULL,NULL,NULL
Jtb,1,NULL,NULL,NULL,NULL,12,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Kcnb2,1,NULL,NULL,NULL,NULL,20,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Kctd13,1,8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Kdelc1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22,NULL,NULL,NULL,NULL
Kdelr2,2,NULL,NULL,NULL,NULL,NULL,5,NULL,18,NULL,NULL,NULL,NULL
Klhl8,3,20,NULL,22,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4,NULL
Krt23,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3,NULL,NULL
Larp4b,1,NULL,NULL,NULL,NULL,NULL,19,NULL,NULL,NULL,NULL,NULL,NULL
Lclat1,3,NULL,NULL,4,NULL,NULL,9,NULL,NULL,NULL,21,NULL,NULL
Lgi3,1,NULL,NULL,NULL,NULL,NULL,NULL,8,NULL,NULL,NULL,NULL,NULL
