"","x"
"1014","KIAA1841"
"1015","C15orf61"
"1016","CHD7"
"1017","CAMSAP1"
"1018","KIAA1211L"
"1019","MFSD2A"
"1020","GPR125"
"1021","KIAA1551"
"1022","ASXL3"
"1023","IGSF9B"
"1024","SPATA13"
"1025","ANKRD16"
"1026","PPP1R18"
"1027","FAM171A1"
"1028","ZBTB38"
"1029","RILP"
"1030","TMED8"
"1031","HPSE2"
"1032","ADAMTSL5"
"1033","KIAA1161"
"1034","ATP7B"
"1035","COL4A4"
"1036","MUT"
"1037","PFKM"
"1038","PKD2"
"1039","SERPINA7"
"1040","COL5A2"
"1041","SLC26A4"
"1042","AK1"
"1043","GPX1"
"1044","SPP1"
"1045","ADORA2B"
"1046","ADRB1"
"1047","ALDH3A1"
"1048","GRIA1"
"1049","MAOB"
"1050","SLC12A2"
"1051","CDH13"
"1052","AP1S1"
"1053","CX3CR1"
"1054","DGKQ"
"1055","DAPK3"
"1056","DTNA"
"1057","B4GALT1"
"1058","NDST1"
"1059","ANXA8L1"
"1060","ANXA8"
"1061","C5"
"1062","CCND3"
"1063","CD37"
"1064","COL4A1"
"1065","CSPG4"
"1066","GPX3"
"1067","HDC"
"1068","CD82"
"1069","KCNS3"
"1070","KPNA3"
"1071","MMP3"
"1072","MMP15"
"1073","PCSK6"
"1074","PRKCG"
"1075","PRSS8"
"1076","PTPRF"
"1077","RAB3A"
"1078","SLC7A2"
"1079","SLC16A1"
"1080","SMARCD2"
"1081","SNRNP70"
"1082","STAT4"
"1083","TMOD1"
"1084","YWHAB"
"1085","CSRP3"
"1086","PTP4A2"
"1087","DYSF"
"1088","TRIM24"
"1089","INPP4B"
"1090","CA8"
"1091","PLK3"
"1092","FOXS1"
"1093","RAB27B"
"1094","SLC1A3"
"1095","SLC28A2"
"1096","ACVR1B"
"1097","CD151"
"1098","EML1"
"1099","EPHA7"
"1100","LRP2"
"1101","SREBF2"
"1102","SEMA3B"
"1103","SLC16A7"
"1104","PDIA4"
"1105","KCNA2"
"1106","MMP14"
"1107","NRCAM"
"1108","PDE1A"
"1109","PPARA"
"1110","RORC"
"1111","SLC12A4"
"1112","TLE1"
"1113","ADRBK2"
"1114","ALDOC"
"1115","ITGA3"
"1116","ABCA1"
"1117","SCARB1"
"1118","SLC1A5"
"1119","NR2F1"
"1120","TSPAN2"
"1121","SMAD1"
"1122","LIPG"
"1123","RAPGEF3"
"1124","PCSK5"
"1125","TLN1"
"1126","TRIM3"
"1127","IFRD2"
"1128","RAB35"
"1129","RXRG"
"1130","ADAMTS1"
"1131","TPPP"
"1132","NR1H2"
"1133","ZXDB"
"1134","CIT"
"1135","PACSIN2"
"1136","PGK1"
"1137","AK3"
"1138","VPS13A"
"1139","MED14"
"1140","MOSPD2"
"1141","POLR1D"
"1142","PAQR4"
"1143","COL13A1"
"1144","COL8A1"
"1145","CACNA1G"
"1146","FGFR2"
"1147","GNAZ"
"1148","KIF13A"
"1149","HSPA4L"
"1150","SLC22A3"
"1151","LIN7C"
"1152","VILL"
"1153","BAZ1B"
"1154","FYB"
"1155","SLC7A11"
"1156","COPS7A"
"1157","ANGPTL2"
"1158","GCA"
"1159","RHOQ"
"1160","HEY2"
"1161","LPHN2"
"1162","SSBP2"
"1163","SRR"
"1164","ABCF3"
"1165","MAPK8IP3"
"1166","MTCH1"
"1167","PPM1F"
"1168","MLXIP"
"1169","WDFY3"
"1170","TRAK2"
"1171","PLXND1"
"1172","PLCB1"
"1173","PDS5A"
"1174","LPHN3"
"1175","EHBP1"
"1176","AZIN1"
"1177","SNX7"
"1178","SIDT2"
"1179","PIAS1"
"1180","DCXR"
"1181","PAIP2"
"1182","PRKAG3"
"1183","DENND4C"
"1184","SUSD4"
"1185","ZNF334"
"1186","FAM178A"
"1187","DNAJA4"
"1188","HES6"
"1189","ABHD2"
"1190","TNRC6C"
"1191","ADAMTSL4"
"1192","CYP26B1"
"1193","CDC42SE1"
"1194","ATP8B2"
"1195","ARHGAP22"
"1196","NR1D1"
"1197","ZNF667"
"1198","SVEP1"
"1199","PTPLB"
"1200","RAB3C"
"1201","SH3BP5"
"1202","LRRK1"
"1203","COLGALT1"
"1204","MYH14"
"1205","ACSF2"
"1206","PREX2"
"1207","KCNIP4"
"1208","SLC19A3"
"1209","CYB5B"
"1210","SNX31"
"1211","KLHL13"
"1212","DGAT2"
"1213","UBXN2B"
"1214","TSPAN11"
"1215","C1orf192"
"1216","VMP1"
"1217","ACAP3"
"1218","ZNF275"
"1219","HMCN1"
"1220","AGAP3"
"1221","ANKRD13A"
"1222","TSPAN18"
"1223","HEATR5B"
"1224","PAIP2B"
"1225","UBR2"
"1226","MAGI3"
"1227","CARNS1"
"1228","CCDC153"
"1229","ILF2"
"1230","EML3"
"1231","FREM1"
"1232","FBXL13"
"1233","SFT2D2"
"1234","FAM76A"
"1235","C5orf51"
"1236","GYLTL1B"
"1237","KANSL1L"
"1238","KIAA1324L"
"1239","LPCAT4"
"1240","ANKRD44"
"1241","KDM4B"
"1242","DTX4"
"1243","MYO1G"
"1244","CCDC108"
"1245","RALGAPA2"
"1246","FNIP1"
"1247","ODF3B"
"1248","TAF4B"
"1249","TMEM212"
"1250","GPR137C"
"1251","ADRB2"
"1252","FBN1"
"1253","ATXN7"
"1254","GP1BB"
"1255","P4HA1"
"1256","ACACA"
"1257","IFRD1"
"1258","ARVCF"
"1259","CHN1"
"1260","HLF"
"1261","PAPPA"
"1262","SDC4"
"1263","TEF"
"1264","UVRAG"
"1265","WEE1"
"1266","ZYX"
"1267","CDC7"
"1268","BCAR3"
"1269","PPM1D"
"1270","CTSF"
"1271","CREG1"
"1272","SQSTM1"
"1273","NOL3"
"1274","FDX1"
"1275","GYG1"
"1276","STK17B"
"1277","CTDP1"
"1278","GGPS1"
"1279","JARID2"
"1280","OXSR1"
"1281","THRAP3"
"1282","MYB"
"1283","MAPK8IP1"
"1284","FLOT1"
"1285","PDGFRA"
"1286","LGALS8"
"1287","RBM3"
"1288","OS9"
"1289","RIPK3"
"1290","PDP1"
"1291","ATF6"
"1292","PLA2R1"
"1293","GATA5"
"1294","MYO1C"
"1295","RHBDF1"
"1296","NFYA"
"1297","VNN1"
"1298","OSTM1"
"1299","CXXC1"
"1300","ANAPC13"
"1301","KLF13"
"1302","REV1"
"1303","MTFP1"
"1304","ZCCHC17"
